A0A0R4J1Z3,51.370006653262465,37.0,Mus musculus
A6NMK8,49.78923326127631,37.0,Homo sapiens
O02115,45.02532127158704,20.0,Caenorhabditis elegans
O31635,47.75007345782805,37.0,Bacillus subtilis
O34534,43.46409897747938,37.0,Bacillus subtilis
O34673,42.99274483620454,37.0,Bacillus subtilis
O34746,41.76949945549482,37.0,Bacillus subtilis
O45757,41.0543968809938,20.0,Caenorhabditis elegans
O80492,47.39353107413219,22.0,Arabidopsis thaliana
O88844,53.209493626036945,37.0,Mus musculus
P05748,41.80250374571646,32.0,Saccharomyces cerevisiae
P0AA53,47.863726635646444,37.0,Escherichia coli
P0CX26,42.1996068305581,32.0,Saccharomyces cerevisiae
P10379,42.85121152928763,25.0,Drosophila melanogaster
P15151,55.87611061623646,37.0,Homo sapiens
P25972,40.50190242326099,37.0,Bacillus subtilis
P26583,56.08784621233633,37.0,Homo sapiens
P41057,41.969335615060174,32.0,Saccharomyces cerevisiae
P48462,40.382559604638466,25.0,Drosophila melanogaster
P57691,53.934756103918076,22.0,Arabidopsis thaliana
P90902,40.136361084398594,20.0,Caenorhabditis elegans
Q18888,35.94315247073044,20.0,Caenorhabditis elegans
Q3TJ75,50.31896042369093,37.0,Mus musculus
Q3UHG7,52.30332477818946,37.0,Mus musculus
Q6KZV7,76.38660637064828,60.0,Picrophilus torridus
Q6L0F3,75.6249666265488,60.0,Picrophilus torridus
Q6L1E9,71.4554985503944,60.0,Picrophilus torridus
Q72H04,89.44879101791098,70.0,Thermus thermophilus
Q72JQ1,77.67567541507042,70.0,Thermus thermophilus
Q72KA2,89.30745591468533,70.0,Thermus thermophilus
Q8BH80,52.86461711313258,37.0,Mus musculus
Q8BRG8,51.356471566776655,37.0,Mus musculus
Q8CJ61,54.24859324844574,37.0,Mus musculus
Q8NEF3,54.139828209897885,37.0,Homo sapiens
Q8S9K8,51.76478907851763,22.0,Arabidopsis thaliana
Q8VY07,49.21005785055082,22.0,Arabidopsis thaliana
Q8W1X2,49.564147346634975,22.0,Arabidopsis thaliana
Q93758,39.30343982088163,20.0,Caenorhabditis elegans
Q9CQE6,51.035800768869244,37.0,Mus musculus
Q9GRV1,35.52183508928482,20.0,Caenorhabditis elegans
Q9LU14,45.003915783396934,22.0,Arabidopsis thaliana
Q9SA56,44.817252059333065,22.0,Arabidopsis thaliana
Q9UKT6,49.25861026291019,37.0,Homo sapiens
Q9VJD2,45.783567332325894,25.0,Drosophila melanogaster
Q9VL18,46.24631211140291,25.0,Drosophila melanogaster
Q9XWK2,39.79903428100066,20.0,Caenorhabditis elegans
R4YJZ6,40.26485410421246,3.0,Oleispira antarctica
R4YNU2,39.12753112972149,3.0,Oleispira antarctica
R4YPN2,45.69879525710277,3.0,Oleispira antarctica
R4YRM8,44.5272860068732,3.0,Oleispira antarctica
