A0A068BIS6,53.0609870681987,37.0,Mus musculus
A0A087WST1,48.023423118167145,37.0,Mus musculus
A0A0A6YY22,49.218123015140115,37.0,Mus musculus
A0A0K3ASN8,36.56589097722698,20.0,Caenorhabditis elegans
A0A0N4SVB8,45.80408281043794,37.0,Mus musculus
A0A0R4J027,52.26076305260646,37.0,Mus musculus
A0A0R4J091,52.72950090592655,37.0,Mus musculus
A0A0R4J0K4,50.22975415220336,37.0,Mus musculus
A0A0R4J0U7,51.75342271791342,37.0,Mus musculus
A0A0R4J1C8,61.84045147530432,37.0,Mus musculus
A0A0R4J233,51.75377902414599,37.0,Mus musculus
A0A0R4J243,54.14420685875172,37.0,Mus musculus
A0A0U1RNL1,50.88474722718876,37.0,Mus musculus
A2A6H1,64.35866841136017,37.0,Mus musculus
A2AEB4,53.078946040055655,37.0,Mus musculus
A2AH25,49.26701324309662,37.0,Mus musculus
A2AMS3,53.553123091271445,37.0,Mus musculus
A2AN96,49.83447761509196,37.0,Mus musculus
A2CF65,53.231027333048445,37.0,Mus musculus
A3QMC8,40.3107575982453,20.0,Caenorhabditis elegans
